60,2024-11-13 15:54:31.520114,59.pcapng,1,2024-11-13 20:54:25.905091+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:54:25.907558+00:00,66.22.212.61,12.65
64,2024-11-13 15:55:01.912339,63.pcapng,1,2024-11-13 20:54:56.337637+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:54:56.337809+00:00,66.22.212.68,12.1
69,2024-11-13 15:55:39.325748,68.pcapng,1,2024-11-13 20:55:33.786961+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:55:33.864806+00:00,66.22.212.71,11.841
70,2024-11-13 15:55:46.876109,69.pcapng,1,2024-11-13 20:55:41.488296+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:55:41.491624+00:00,66.22.214.139,11.359
73,2024-11-13 15:56:10.303249,72.pcapng,1,2024-11-13 20:56:04.009391+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:56:04.010464+00:00,66.22.214.22,11.748
74,2024-11-13 15:56:18.020150,73.pcapng,1,2024-11-13 20:56:12.510248+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:56:12.510304+00:00,66.22.212.46,14.951
81,2024-11-13 15:57:10.624714,80.pcapng,1,2024-11-13 20:57:05.062036+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:57:05.062159+00:00,66.22.212.48,12.182
85,2024-11-13 15:57:40.976630,84.pcapng,1,2024-11-13 20:57:35.421940+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:57:35.432637+00:00,66.22.212.73,12.974
87,2024-11-13 15:57:56.179679,86.pcapng,1,2024-11-13 20:57:50.758304+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:57:50.760763+00:00,66.22.212.8,11.153
91,2024-11-13 15:58:26.486892,90.pcapng,1,2024-11-13 20:58:21.081042+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:58:21.081209+00:00,66.22.214.39,11.485
94,2024-11-13 15:58:49.255347,93.pcapng,1,2024-11-13 20:58:43.758574+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:58:43.798679+00:00,66.22.212.149,13.664
95,2024-11-13 15:58:57.025285,94.pcapng,1,2024-11-13 20:58:51.525238+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:58:51.561484+00:00,66.22.214.30,14.054
97,2024-11-13 15:59:12.713466,96.pcapng,1,2024-11-13 20:59:07.116990+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:59:07.117109+00:00,66.22.214.66,10.276
98,2024-11-13 15:59:20.458524,97.pcapng,1,2024-11-13 20:59:14.964213+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:59:14.964213+00:00,66.22.214.82,13.261
99,2024-11-13 15:59:28.342264,98.pcapng,1,2024-11-13 20:59:22.714101+00:00,1970-01-01 00:00:00+00:00,2024-11-13 20:59:22.750942+00:00,66.22.212.36,11.597
